sb	name	pv	pos_peak	pos_avg	pos_ngy	neg_peak	neg_avg	neg_cnt	neg_ngy	mwh 	mw1	max pw	trxno	lat+long	DT	MT	E5:GWh	E2:GWh
KWA	???????? 1	??????????	75.600006	17.13964	75071.234	4.7	2.5636363	23	5.7	0	0	100	2	"13.7334,101.0253"	882	22995	613	547
KWB	???????? 2	??????????	78.729996	27.402468	119736.11	3.1599998	2.4836924	415	37.051247	8	4	100	2	"13.7576,100.9927"	686	13122	547	489
KWU	???????? 3 (?)	??????????	39.239998	14.404267	63090.01	0.27	0.27	1	0.0675	0	0	50	1		167	1129	219	196
PHA	?????????	??????????	81.65	36.18901	158343.98	2.27	0.8823855	197	21.7975	0	0	100	2	"13.7845,101.5276"	1509	34510	532	474
SNK	??????????	??????????	71.310005	23.141665	101359.82	2.83	2.83	1	0.7075	0	0	100	2	"13.5772,101.9042"	1726	38649	466	416
BAL	??????	?????????	103.17	39.83671	174483.13	2.54	2.2749999	3	1.0525	0	0	100	2	"13.5868,100.2473"	555	9955	527	471
BNP	????????	?????????	94.44999	20.481565	87641.07	11.91	5.6022034	8436	5094.1934	8	4	100	2	"13.5665,100.1165"	1233	23305	617	551
EKA	?????? 1	?????????	104.049995	43.533794	190658.1	15.459999	9.708611	21	9.0925	0	0	100	2	"13.5840,100.3187"	832	12441	592	529
EKB	?????? 2	?????????	83.7	23.585636	103170.01	21.77	15.00876	279	249.30249	8	4	100	2	"13.5559,100.2856"	466	6659	357	318
KTA	?????????? 1	?????????	85.78999	31.349497	137309.58	1.98	1.98	2	0.495	0	0	100	2	"13.6447,100.2972"	732	12741	604	540
KTB	?????????? 2	?????????	89.869995	34.909866	152806.95	5.6600003	4.08075	82	12.885	0	0	100	2	"13.6264,100.3112"	935	5963	832	744
KTD	?????????? 4	?????????	67.38	27.265953	119113.39	3.4899998	3.444292	381	142.22496	8	4	100	2	"13.6766,100.2690"	417	7295	409	365
KTE	?????????? 5	?????????	99.78999	42.576683	186485.48	3.22	1.8100001	2	0.90500003	0	0	100	2	"13.6388,100.2407"	1139	19097	760	679
KTU	?????????? 6 (?)	?????????	18.92	10.119058	43704.64	0.7	0.6999989	51994	1819.7854	5	2.5	25	1	"13.6335,100.3228"	135	732	118	105
ONA	???????? 1	?????????	96.72	30.598064	134012.25	21.96	18.158333	14	7.119999	0	0	100	2	"13.7122,100.3148"	551	9068	524	468
ONB	???????? 2	?????????	84.43001	28.777533	126004.69	11.190001	6.4747796	42	7.3625	0	0	100	2	"13.6714,100.3079"	845	17196	620	553
ONC	???????? 3	?????????	74.07	24.268578	106275.84	18.18	9.544174	759	208.71756	8	4	100	2	"13.7060,100.2976"	366	9707	397	354
OND	???????? 4	?????????	57.759995	10.98581	48117.848	0	0	0	0	0	0	100	2	"13.7163,100.3220"	389	9696	246	219
ONU	???????? 5 (?)	?????????	31.44	5.8934646	25809.615	2.47	2.47	14	0.6475	0	0	50	1	"13.6868,100.3266"	219	3718	189	169
SAA	??????? 1	?????????	109.33	20.844305	91297.84	11.46	11.46	1	2.865	0	0	150	3	"13.6908,100.2927"	256	4742	274	245
SMA	????????? 1	?????????	83.21001	37.09294	162467.06	0.01	0.01	2	0.005	0	0	150	3	"13.5930,100.2827"	726	13410	536	478
SMB	????????? 2	?????????	145.18999	46.5733	195649.58	29.53	10.450309	19532	2189.4602	8	4	150	3	"13.5418,100.2293"	776	8873	737	659
SMD	????????? 4	?????????	85.48	14.383979	63000.785	2.21	1.75	3	0.72999996	0	0	100	2	"13.5446,100.2643"	282	7607	158	140
SME	????????? 5	?????????	87.560005	39.92037	165030.23	20.89	8.300296	12249	4861.1787	8	4	100	2	"13.5094,100.1329"	850	10681	644	575
SMF	????????? 6	?????????	112.399994	49.1455	213306.33	17.570002	9.030669	3403	775.44543	8	4	100	2	"13.5591,100.3134"	1476	27643	750	668
SMG	????????? 7	?????????	74.33	24.189625	105942.914	11.120001	7.9674997	7	2.8175	0	0	100	2	"13.5830,100.2919"	350	3559	301	269
SMI	????????? 9	?????????	59.71	23.576742	103254.31	6.35	4.621692	38	14.977499	0	0	100	2	"13.6245,100.3415"	591	5572	415	371
SMW	????????? 11 (?)	?????????	46.449997	21.132618	92556.8	12.06	7.75	6	3.9125001	0	0	50	1		503	13779	319	285
SMX	????????? 12 (?)	?????????	46.969997	18.57724	81344.05	14.24	3.0216725	51	14.8275	0	0	50	1	"13.6019,100.3606"	515	4953	383	342
SXA	???????	?????????	72.95999	19.73095	86371.69	1.6	0.8116049	147	4.75	0	0	100	2	"13.5570,100.3431"	335	1296	404	362
THS	??????? 1	?????????	107.41	27.174654	119016.766	28.04	25.640238	19	18.27	0	0	130	3	"13.5501,100.2331"	150	284	275	246
BDA	???????	????????	44.71	9.395683	41153.094	0	0	0	0	0	0	100	2	"13.9791,100.5546"	314	555	694	621
BKA	???????? 1	????????	127.07	39.059975	171075	17.75	12.266667	10	5.2425003	0	0	150	3	"14.0587,100.6167"	1143	25212	786	701
BMA	???????? 1	????????	70.32	23.995935	105100.96	2.1000001	1.575	4	0.53000003	0	0	100	2	"13.9766,100.5691"	891	21729	444	394
BMB	???????? 2	????????	66.71	22.614151	99046.7	5.2599998	5.15	4	1.4575	0	0	100	2	"13.9920,100.5825"	909	20820	448	398
BPN	??????	????????	82.21001	21.535234	94249.56	12.860001	8.320797	116	23.3825	0	0	100	2	"13.9751,100.5503"	436	9821	299	266
KHC	????????	????????	100.69	32.090267	140555.34	0	0	0	0	0	0	100	2	"14.0355,100.7721"	1310	41206	459	407
KHL	???????	????????	110.479996	35.558857	155743.11	15.58	14.886666	9	4.9225	0	0	100	2	"13.9406,100.7111"	1265	24313	447	399
KLO	????????	????????	117.240005	49.217636	215566.89	8.51	8.426666	5	2.2	0	0	100	2	"14.0667,100.7061"	2284	36640	1693	1511
KQA	????	????????	59.909996	9.88747	43307.11	0	0	0	0	0	0	100	2	"13.9483,100.6854"	781	22667	177	158
KQU	???? (?)	????????	47	14.906559	65288.57	7.3999996	6.5	3	2.1	0	0	50	1		427	10314	153	137
LAK	???????????	????????	85.939995	30.672241	131914.69	10.37	4.8648467	3770	1530.123	8	4	100	2	"14.0311,100.3856"	1347	18586	941	840
LLK	??????? 1	????????	107.96	44.51268	194965.53	0	0	0	0	0	0	100	2	"13.9473,100.7872"	2163	26566	1096	981
MUB	???????? 2	????????	48.23	17.374931	76101.37	1.63	1.63	1	0.4075	0	0	100	2	"13.9724,100.6153"	398	11592	238	212
NVA	????? 1	????????	48.739998	9.144703	40029.25	3.5	2.714957	1087	82.552475	5	2.5	100	2	"14.1218,100.6051"	198	644	382	341
NVB	????? 2	????????	19.320002	6.799633	29781.38	1.42	1.42	1	0.355	0	0	50	1	"14.0993,100.5976"	37	288	90	81
NVC	????? 3	????????	41.93	10.068078	44059.324	24.46	4.069717	206	16.409998	5	2.5	100	2	"14.1190,100.5924"	210	245	430	385
NVD	????? 4	????????	70.47	22.037321	96517.98	11.37	9.726667	7	3.2950003	0	0	100	2	"14.1158,100.6101"	869	8412	526	470
PQA	???????? 1	????????	90.850006	33.03382	144449.98	10.8	4.930398	247	32.887497	8	4	100	2	"14.0416,100.4744"	1133	17886	785	700
PQB	???????? 2	????????	77.1	26.841019	117563.516	0.48	0.48	1	0.12	0	0	100	2	"13.9563,100.5128"	1169	28578	537	477
PQC	???????? 3	????????	94.380005	33.095993	144945.67	7.0299997	3.4291666	15	6.25	0	0	100	2	"13.9784,100.5243"	670	16523	477	425
PQD	???????? 4	????????	66.24	20.93724	91703.19	4	2.2399998	4	1.02	0	0	100	2	"14.0642,100.5231"	1006	15625	526	469
RGA	?????? 1	????????	94.72	22.909061	100341.58	3.62	3.62	1	0.905	0	0	100	2	"13.9825,100.6185"	542	13278	305	271
RSA	????????? 1	????????	102.33	34.229763	149924.25	2.21	2.21	2	0.5525	0	0	100	2	"13.9613,100.6429"	1050	39048	279	245
SKK	??????	????????	58.93	18.902887	82789.66	12.43	12.43	5	5.11	0	0	100	2	"14.1085,100.5708"	742	9872	431	385
TMS	??????????	????????	81.58001	16.102	70413.96	9.049999	5.1321807	1572	101.0875	8	4	150	3	"14.0671,100.6057"	1020	23057	625	558
TYA	???????	????????	113.060005	43.33506	189798.55	7.6000004	6.0575	9	2.5	0	0	100	2	"13.9978,100.6743"	1504	44372	585	518
BRA	????????? 1	?????????	95.9	33.142685	125255.36	23.01	10.432417	23330	15175.907	8	4	100	2	"15.0220,103.1081"	1970	64905	772	685
BRB	????????? 2	?????????	63.85	24.260609	102445.36	23.929998	11.082508	4294	2135.5803	8	4	50	1	"14.9552,103.0713"	1701	56016	633	563
NAR	??????	?????????	26.939999	9.403747	40423.887	15.21	10.6013775	1130	1479.0924	5	2.5	50	1	"14.6244,102.8701"	584	22819	200	180
NOK	???????	?????????	79.71	27.709385	102298.09	30.11	11.915009	27773	18731.547	8	4	100	2	"14.6967,102.5015"	1626	60916	737	659
PVA	?????????	?????????	68.490005	23.129908	96559.09	19.96	7.4912825	12107	8790.463	8	4	100	2		1380	57496	490	441
XTA	????	?????????	27.099998	5.5557213	23141.828	12.6	7.0247993	8177	8071.326	3	1.5	50	1	"15.2715,103.2708"	560	24924	140	123
BSG	?????????	??????????	71.46999	14.951572	58139.508	31.720001	10.737015	19550	9187.508	7	3.5	100	2	"14.0084,101.2450"	881	13287	386	345
KBI	??????????? 1	??????????	67.78	15.635085	68382.375	13.91	4.3848667	1619	187.54004	8	4	100	2	"14.0733,101.8273"	156	200	309	276
KBJ	??????????? 2	??????????	103.520004	35.035034	152171.25	10.87	3.9210167	1092	266.72876	8	4	100	2	"14.0226,101.7821"	1960	41130	707	634
KBK	??????????? 3	??????????	31.869999	4.5421643	19858.59	8.7699995	5.377773	528	40.6875	3	1.5	50	1	"14.0598,101.8415"	66	77	117	105
KBL	??????????? 4	??????????	38.699997	11.327345	49510.617	9.700001	7.1609583	142	12.775	0	0	100	2	"13.9145,101.6521"	585	7716	414	370
NSI	?????	??????????	56.769997	12.255537	47794.06	35.19	10.5214	18771	12495.068	6	3	100	2	"14.0105,101.7025"	1029	21387	385	345
PAA	?????????? 1	??????????	85.61	28.98145	125509.71	14.559999	6.942181	3471	941.45575	8	4	100	2	"14.1472,101.3179"	2011	51506	876	781
PAB	?????????? 2	??????????	41.49	10.286957	43730.176	9.01	1.2534748	2021	442.13513	5	2.5	100	2	"13.8407,101.5447"	582	11555	350	313
PCK	??????????	??????????	38.489998	8.532904	36191.15	9.25	2.7786431	6003	2133.5728	4	2	50	1	"14.0985,101.5087"	863	24875	229	203
SMP	?????????? 1	??????????	85.990005	33.550686	141960.61	22.32	6.478484	11028	5817.388	8	4	100	2	"13.9487,101.5129"	1736	41164	1037	925
